seed_row_id,worksheet_row,company_id,source_sheet,seed,seed_fields_verified,issues
gnem_row_23,23,company_c5fcc97bfb2974073676415c,Sheet1,"{""Company"": ""Bosch (Automotive Division)"", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Rubber and Miscellaneous Plastic Products"", ""Location"": ""Toccoa, Franklin County"", ""Address"": ""1241 Meadowbrook Dr, Toccoa, GA 30577"", ""Latitude"": 34.5288916, ""Longitude"": -83.2825339, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""Materials"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 250, ""Product / Service"": ""Custom injection molded plastic products for the automotive industry and other industries"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Franklin"", ""local_reference_county"": ""Stephens"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_28,28,company_ef38ad6c248a16d5d72da55c,Sheet1,"{""Company"": ""Mack Trucks"", ""Category"": ""Tier 1"", ""Industry Group"": "" Transportation Equipment"", ""Location"": ""Dublin, Lowndes County"", ""Address"": ""1525 Madison Hwy, Dublin, GA 31021"", ""Latitude"": 30.804784, ""Longitude"": -83.273804, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 500, ""Product / Service"": ""Interior and exterior automotive components"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Lowndes"", ""local_reference_county"": ""Laurens"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_29,29,company_74f4835a25a8890b2477e48b,Sheet1,"{""Company"": ""Mando America Corp."", ""Category"": ""Tier 1"", ""Industry Group"": "" Transportation Equipment"", ""Location"": ""Hogansville, Meriwether County"", ""Address"": ""100 Mando Dr, Hogansville, GA 30230"", ""Latitude"": 33.1709673066386, ""Longitude"": -84.8589919386904, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 460, ""Product / Service"": ""Automotive body parts"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Meriwether"", ""local_reference_county"": ""Troup"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_31,31,company_85bc0be08bc4340515f23feb,Sheet1,"{""Company"": ""DAEHAN Solution Georgia LLC"", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Rubber and Miscellaneous Plastic Products"", ""Location"": ""Covington, Henry County"", ""Address"": ""123 Industrial Blvd, Covington, GA 30014"", ""Latitude"": 33.4141149, ""Longitude"": -84.1586262, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""Materials"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 130, ""Product / Service"": ""Chemically treated industrial yarns Rubber compounds for tires, mining conveyor belts, automotive floor mats, and windshield wiper blades"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Henry"", ""local_reference_county"": ""Newton"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_35,35,company_0493452f9eb077afb0f244bd,Sheet1,"{""Company"": ""DAS Corp."", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Rubber and Miscellaneous Plastic Products"", ""Location"": ""Metter, Emanuel County"", ""Address"": ""730 Fortner Rd, Metter, GA 30439"", ""Latitude"": 32.3838336, ""Longitude"": -82.0753462, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""Materials"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 85, ""Product / Service"": ""Automotive plastic coatings"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Emanuel"", ""local_reference_county"": ""Candler"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_39,39,company_554a225e8185b55b8a0a41bd,Sheet1,"{""Company"": ""Carcoustics USA"", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Rubber and Miscellaneous Plastic Products"", ""Location"": ""Buford, Forsyth County"", ""Address"": ""4740 S Lee St, Buford, GA 30518"", ""Latitude"": 34.1143595, ""Longitude"": -84.0074037, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 225, ""Product / Service"": ""Tires for light trucks, SUVs and commercial vehicles"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Forsyth"", ""local_reference_county"": ""Gwinnett/Hall"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_40,40,company_8102602c2cf120a2e06de532,Sheet1,"{""Company"": ""Archer Aviation Inc."", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Chemicals and Allied Products"", ""Location"": ""Covington, Morgan County"", ""Address"": ""2151 Centennial Pkwy NE, Covington, GA 30014"", ""Latitude"": 33.5928931, ""Longitude"": -83.6101194, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 200, ""Product / Service"": ""Powder coatings for automotive and other industries"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Morgan"", ""local_reference_county"": ""Newton"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_49,49,company_c01c638d33df890a6b51cd0c,Sheet1,"{""Company"": ""Elan Technology Inc."", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Primary Metal Industries"", ""Location"": ""Midway, Bryan County"", ""Address"": ""169 Elan Court, Midway, GA 31320"", ""Latitude"": 31.7958661, ""Longitude"": -81.412058, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 160, ""Product / Service"": ""Single and multimode fiber cables"", ""EV / Battery Relevant"": ""No"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Bryan"", ""local_reference_county"": ""Liberty"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_50,50,company_fc7c935e96c630b5d97e68a4,Sheet1,"{""Company"": ""Continental Automotive"", ""Category"": ""Tier 2/3"", ""Industry Group"": "" Rubber and Miscellaneous Plastic Products"", ""Location"": ""Fairburn, Fayette County"", ""Address"": ""7310 Oakley Industrial Blvd, Fairburn, GA 30213"", ""Latitude"": 33.5496124, ""Longitude"": -84.5424686, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 160, ""Product / Service"": ""Rubber silicone molded components for medical, automotive, and industrial use"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Fayette"", ""local_reference_county"": ""Fulton"", ""action"": ""verify_external_source; do not overwrite seed""}]"
gnem_row_58,58,company_1586819e6c963998b5db83da,Sheet1,"{""Company"": ""Murata Electronics North America Inc."", ""Category"": ""Tier 1"", ""Industry Group"": "" Transportation Equipment"", ""Location"": ""Smyrna, Fulton County"", ""Address"": ""1000 Corporate Dr, Smyrna, GA 30080"", ""Latitude"": 33.8866538, ""Longitude"": -84.783561, ""Primary Facility Type"": ""Manufacturing Plant"", ""EV Supply Chain Role"": ""General Automotive"", ""Primary OEMs"": ""Multiple OEMs"", ""Supplier or Affiliation Type"": ""Automotive supply chain participant"", ""Employment"": 310, ""Product / Service"": ""Motor vehicle brake systems and parts"", ""EV / Battery Relevant"": ""Indirect"", ""Classification Method"": ""Supplier""}",False,"[{""type"": ""city_county_disagreement_with_local_reference"", ""provided_county"": ""Fulton"", ""local_reference_county"": ""Cobb"", ""action"": ""verify_external_source; do not overwrite seed""}]"
