company_id,company_name,full_text_scan_completed,matching_windows,tariff_windows,selected_windows,unreviewed_windows
company_09c2e352043905f0b725491b,Hitachi Astemo,True,72,19,6,66
company_857a53c98c8af0ccf25cdd3a,Hitachi Astemo Americas Inc.,True,74,20,6,68
company_1a995c929c9b6b4f4eafd428,Hollingsworth & Vose Co.,True,16,0,6,10
company_19c065ceff1df6bfa321c147,Honda Development & Manufacturing,True,3,0,2,1
company_26beff672f7c2515d668d5a8,Hwashin,True,27,0,5,22
company_c616bc37ca5f1ed57590e3c9,Hyundai MOBIS (Georgia),True,0,0,0,0
company_a5d8748e8f29ace38fb5e117,Hyundai Transys Georgia Powertrain,True,7,3,5,2
company_127cc1bfd36760f9a2c064cc,Hyundai Transys Georgia Seating Systems,True,1,0,1,0
company_b1eb8328a45bb51000d1ecaa,IMMI,True,1,0,1,0
company_688fd73015130e3680f03efc,IMS Gear Georgia Inc.,True,2,0,2,0
company_bf629aedfdcb5f68f8719223,Inalfa Roof Systems Inc.,True,12,0,4,8
company_3d6e0348f06d2e4c8bef6828,JAC Products Inc.,True,5,2,5,0
company_5e93b599969eccdd9ccfe0a3,Jefferson Southern Corp.,True,7,2,6,1
company_b7bd683c22b8b3f21d8e9f7d,Jefferson Southern Corporation,True,6,2,6,0
company_933e96a9f78bb1d41d7089e0,"Joon Georgia, Inc.",True,55,9,4,51
company_51acf7e91bf99d07602b0a15,JTEKT North America Corp.,True,84,3,6,78
company_7959438dbd42735054f1a7a4,Kautex Inc.,True,439,73,6,433
company_284421b36ec8283988c17894,Kia Georgia Inc.,True,9,2,6,3
company_98ae8e7c06629f61cd42906f,KTX America Corporation,True,0,0,0,0
company_0070706649688b18a55fb394,Kumho Tire USA Inc.,True,18,12,6,12
company_fc5db24fad4fb6564b0f2519,Kyungshin America Corp.,True,47,0,6,41
company_9c755b1461327a4d399720e7,Lark United Manufacturing Inc.,True,1,0,1,0
company_1ccd8d549b6d5b76fe835826,Lear Corporation,True,9,7,6,3
company_ccca310b7ffd19ccc338c019,Lehigh Technologies Inc.,True,3,0,2,1
company_007f5c302685153392ed0dc8,Linde + Wiemann,True,44,0,5,39
company_f8508eb6bd1d98eac99aa886,Lund International Inc.,True,1,0,1,0
company_41d9c60287871fc6c424af25,Lund International Inc./Ventshade Division,True,1,0,1,0
company_b5ea19d5054e315d972744db,Lyle Industries Inc.,True,109,0,4,105
company_ef38ad6c248a16d5d72da55c,Mack Trucks,True,19,17,6,13
company_6ad2cc466d4f49495289e32c,Magna International,True,21,16,6,15
company_74f4835a25a8890b2477e48b,Mando America Corp.,True,4,0,3,1
company_cc05f0fa42a8b67bc3fac107,Master Craft Engineering Inc.,True,2,0,2,0
company_40f766afc78f2026929f2f25,MAT Heavy Duty,True,1,0,1,0
company_04aa588dd09fd1f4ac08e185,Maxxis International USA,True,2,0,2,0
company_a4ae0b0d9a7850bda1de1dbe,Mercedes-Benz USA LLC,True,127,101,6,121
company_154339ddd87245d6b7e95ca5,Michelin Tread Technologies,True,27,24,6,21
company_d75ac400f676e94363abe01a,Milliken & Co./Valway Plant,True,3,0,3,0
company_d4ec137cd59e7e026abc774c,Minebea AccessSolutions USA Inc.,True,17,0,4,13
company_859f550089b8293c0ae121ed,Mobis Alabama LLC,True,17,1,6,11
company_10d15bbbe68ff2be14d6aec2,MollerTech LLC,True,2,0,2,0
company_eede3852858fee3e71f33721,Morgan Corp.,True,40,15,6,34
company_1586819e6c963998b5db83da,Murata Electronics North America Inc.,True,3,0,2,1
company_4744f7fd4e0e4f89f2f73b2a,Neaton Rome Inc.,True,5,0,2,3
company_88a2081314267701955f6546,Nidec Elesys Americas Corp.,True,8,4,6,2
company_7849dc05e9630d0106497b00,NIFCO KTW America Corp.,True,5,0,4,1
company_8f5291e2a5a64e6a8f7f09e2,Nile Automotive,True,3,0,3,0
company_c511a92fcd95a7cc9a4a2c33,Nisshinbo Automotive Manufacturing Inc.,True,3,0,2,1
company_620054e4e188e563c4920e21,Nivel Parts & Manufacturing Co. LLC,True,3,0,2,1
company_bcc838354309e862758a8371,Novelis Inc.,True,379,39,6,373
company_a51a3f8338d12ca01a577774,NVH Korea,True,0,0,0,0
company_a25ed74f86091489db686a03,Oneda Corp.,True,2,0,2,0
company_bce2d26074c9cd4b0409dbc0,OTR Wheel Engineering Inc.,True,2,0,2,0
company_b2519d425e8c787c3825d2b9,Paccar,True,15,15,6,9
company_065f929c58de60436123306d,PAI Industries Inc.,True,2,0,2,0
company_d0e4b3968ef99687d30dd1ba,Pak-Lite Inc.,True,3,1,3,0
company_f4939036511c0ee9ade29b46,Panasonic Automotive Systems Co.,True,106,35,6,100
company_abf2b48f96cf55c66c957e6e,Panduit Corp.,True,45,0,4,41
company_58e740dcd9f3598d25e1cf8c,Peerless-Winsmith Inc.,True,3,0,2,1
company_09088da4230e4aa9653a62b0,Perkins Small Engines LLC,True,9,1,6,3
company_3b08d60cda1e626125460263,Peterson Spring,True,12,7,6,6
company_2d4ba2a74a409a97bbfe7442,Piedmont Automotive Products Inc.,True,13,4,6,7
company_f5609ab445df94a594136ba8,PIOLAX Corp.,True,5,0,5,0
company_ca4c6bbbf98fac1857c252a1,Pirelli Tire North America LLC,True,24,7,6,18
company_916426eb70ecce5624bfa654,Porsche Cars North America Inc.,True,43,31,6,37
company_d52e9e16bbe521b4e9847297,PPG Industries Inc.,True,6,2,4,2
company_29f6309444ab2e1c3472c3a7,QSR Inc.,True,1,0,1,0
company_7dd0e30354ae58e70bc7f1ab,Racemark International LLC,True,3,0,2,1
company_733f406bade7f8e2e5e1a4ac,RealTruck,True,10,2,6,4
company_bf47a285d281fa0f069e5d46,Rivian Automotive,True,79,31,6,73
company_12e67d5ae5db170e67a50b2e,Robert Bosch LLC,True,7,3,6,1
company_200ebe21e055e72509aa1abc,SAFT America Inc.,True,5,0,4,1
company_e9fd0ec8b547bf4492af2a45,Sejong Georgia LLC,True,29,6,5,24
company_07bdb7c1d1dbfa2bc94f0282,Seohan Auto USA,True,1,0,1,0
company_c89f5b7a127c7ebb39ac7795,Seoyon E-HWA,True,14,0,6,8
company_8888aef32079e2fde2def9b4,Seoyon E-Hwa Interior Systems,True,12,0,6,6
company_a3f3c6917807f4d6e5d3818f,Sewon America Inc.,True,9,0,5,4
company_0840ca72a880ea975df81150,SHIROKI North America Inc,True,45,0,4,41
company_8df8745aa77e1b6d38397a4e,SKF USA Inc.,True,2,0,2,0
company_2703f483acb6cc525b6a7848,Solvay Specialty Polymers USA LLC,True,54,0,6,48
company_897a9db8aebed83bd2799b36,Southern Switches Corp.,True,2,0,2,0
company_5851dbb8592edb520cc2ac87,SRG Global Inc.,True,2,0,2,0
company_01817ab985f63f3cc976a82f,Stryten Energy,True,2,0,2,0
company_705c975c0b21d509bfb29018,Suhner Manufacturing Corp.,True,1,0,1,0
company_37a56bc9ae554661c98d2c5e,SungEel Recycling Park Georgia,True,0,0,0,0
company_f48a5d63b769d5a79766038c,Superior Essex Inc.,True,2,0,2,0
company_a70d2f26955acf1b5a0306e6,Suzuki Manufacturing of America Corp.,True,27,5,6,21
company_1f5709cc554bb7b9bb9826bf,TCI Powder Coatings,True,2,0,2,0
company_3e0686f60c22b008dd5a18cf,TDK Components USA Inc.,True,2,0,2,0
company_aaa7f0307f6d78ed3a046f8c,TE Connectivity,True,3,3,2,1
company_c6dcb308bcb598c09e54dacd,Teklas USA,True,2,0,2,0
company_7941a108fa084dfe890ed1d8,Textron Specialized Vehicles,True,119,24,6,113
