HTS Code Lookup
Find Tariff Codes by Product or Number
Search the Harmonized Tariff Schedule by entering a product name or HTS code to get duty rates, descriptions, and classification details.
Home > HTS Codes > Chapter 98 > 9801
Custom Duty Rate for HTS Code 9801 : Products of the United States when returned after having been exported, or any other products when returned within 3 years after having been exported, without having been advanced in value or improved in condition by any process of manufacture or other means while abroad
| Heading/Subheading | Article Description | Unit of Quantity | Rates of Duty |  |  | 
|---|---|---|---|---|---|
|  |  |  | 1 |  | 2 | 
|  |  |  | General | Special |  | 
| 9801.00 | Products of the united states when returned after having been exported, or any other products when returned within 3 years after having been exported, without having been advanced in value or improved in condition by any process of manufacture or other means while abroad |  |  |  |  | 
| 9801.00.60 | Public exposition, fair, or conference articles returned after having been exported for use temporarily abroad for exhibition or use by the original exporter |  | Free |  | Free | 
| 9801.00.65 | Natural resource exploration articles returned after having been exported for use temporarily abroad for the rendition of geophysical or contracting services regarding the exploration, extraction, or development of natural resources |  | Free |  | Free | 
| 9801.00.70.00 | Aircraft previously exported from the united states with benefit of drawback or under heading 9813.00.05 | kg | A duty equal to the duty upon the importation of like articles not previously exported, but in no case in excess of the sum of (a) any customs drawback proved to have been allowed upon such exportation, and (b) the duty which would have been payable on any articles used in the manufacture or production of such aircraft had they not been entered and exported under heading 9813.00.05 | Free (AU,BH,CA, CL,CO,IL,JO, KR,MA,MX,OM, P,PA,PE,S,SG) | A duty equal to the duty upon the importation of like articles not previously exported, but in no case in excess of the sum of (a) any customs drawback proved to have been allowed upon such exportation, and (b) the duty which would have been payable on any articles used in the manufacture or production of such aircraft had they not been entered and exported under heading 9813.00.05 | 
| 9801.00.80 | Articles previously exported from the united states with benefit of drawback or under 9813.00.05 excluding aircraft and articles manufactured in bonded warehouses |  | A duty (in lieu of any other duty or tax) equal to the sum of any duty and internal- revenue tax imposed upon the importation of like articles not previously exported, but in no case in excess of the sum of (a) any customs drawback proved to have been allowed upon such exportation of the article, and (b) any internal- revenue tax imposed, at the time such article is entered, upon the importation of like articles not previously exported | Free (AU,BH,CA, CL,CO,IL,JO, KR,MA,MX, OM,P,PA,PE,S, SG) | A duty (in lieu of any other duty or tax) equal to the sum of any duty and internal- revenue tax imposed upon the importation of like articles not previously exported, but in no case in excess of the sum of (a) any customs drawback proved to have been allowed upon such exportation of the article, and (b) any internal- revenue tax imposed, at the time such article is entered, upon the importation of like articles not previously exported | 
| 9801.00.80.10 | Nonalcoholic beer provided for in subheading 2202.91.00 previously exported from the united states with benefit of drawback | liters |  |  |  | 
| 9801.00.80.20 | Alcohol provided for in headings 2203, 2204, 2205, 2206, 2207, and 2208 previously exported from the united states with benefit of drawback | liters |  |  |  | 
| 9801.00.80.30 | Tobacco and tobacco products provided for in chapter 24 previously exported from the united states with benefit of drawback |  |  |  |  | 
| 9801.00.80.40 | Cigarette paper provided for in heading 4813 previously exported from the united states with benefit of drawback |  |  |  |  | 
| 9801.00.80.90 | Articles not elsewhere specified previously exported from the united states with benefit of drawback |  |  |  |  | 
| 9801.00.85.00 | Professional books, implements, instruments, and tools of trade, occupation, or employment returned after temporary use abroad by the original exporter | No. | Free |  | Free | 
| 9801.00.90.00 | Domesticated animals straying across or driven across the boundary line for temporary pasturage only, together with offspring, if brought back to the united states within 8 months | No. | Free |  | Free | 
Disclaimer: The HTS code data and duty rates shown on this page are sourced from the Harmonized Tariff Schedule of the United States, Revision 15 (2025), published by the U.S. International Trade Commission (USITC). This information is provided for general reference purposes only. Credlix is a trade finance platform, not a licensed customs broker, freight forwarder, or trade law firm. It makes no warranty, express or implied, regarding the accuracy, completeness, or fitness of this data. Always verify against the latest schedule at hts.usitc.gov before making any import decisions.
