dimension,group,queries,with_selected_evidence,with_full_text_citation,with_trade_authority_citation,with_topic_location_term,with_named_company_field,insufficient,with_recovery_quotes
sector,automotive_and_trade,230,219,198,83,166,121,56,52
sector,metals,79,77,76,35,65,30,14,11
sector,batteries_and_minerals,136,125,106,39,113,55,37,35
sector,pcbs_and_electronics,50,47,41,16,32,21,14,12
sector,displays,37,34,27,13,23,14,14,12
geography,national_international_context,362,347,313,171,not_applicable,116,68,59
geography,southeast_georgia,64,57,50,6,32,51,27,24
geography,statewide_georgia,84,77,67,3,46,65,30,29
